idade preco
23.958632 298.093947
25.004276 225.837790
24.156443 240.033789
18.041815 251.155393
23.598202 242.323427
26.740354 249.744253
20.129065 211.602752
19.337319 236.234766
24.894797 239.053860
28.717975 249.717065
27.048757 258.918806
22.909821 216.540082
20.959553 256.101854
20.029031 197.435470
19.949250 235.722946
25.214698 277.468006
25.290279 241.377480
22.517603 299.949491
22.471795 245.967011
19.897558 235.531915
20.690526 263.588916
25.301420 286.846595
21.084270 292.457730
23.809452 313.147715
19.849388 277.416718
23.823639 278.416106
18.038405 220.807987
19.713194 243.725283
22.648891 243.070432
23.501876 209.893875
20.220745 283.207172
24.094906 231.010947
19.768848 239.638005
21.270231 201.300287
24.307462 197.966478
26.527049 207.321076
23.748811 226.669377
21.208836 262.223110
22.911574 276.778062
27.276750 210.336899
23.116485 252.106797
23.082614 246.139584
23.710087 243.616637
25.931748 213.234232
27.708639 282.622036
23.993158 263.902741
23.350705 232.117527
23.822690 293.473786
20.851451 269.359524
27.678334 277.660112
25.399887 274.942963
23.205592 205.022724
22.448017 270.716929
23.819029 221.349138
25.781039 271.729343
23.438269 285.023867
18.625275 191.437896
22.186425 310.096465
21.034161 213.653198
17.771483 222.798658
22.482204 266.636330
23.585034 284.476351
25.111421 260.327517
26.519014 213.664209
17.386461 200.407756
28.340065 244.770591
22.626808 168.112251
18.101305 308.545198
21.496178 248.725936
20.208825 246.497336
25.604495 266.710124
24.253913 261.300346
28.095017 281.043357
15.348542 273.528899
24.654256 266.270391
20.235094 207.018787
22.737422 252.613067
19.868707 282.251824
22.890078 208.846723
26.689774 288.833950
18.476084 274.040019
20.948635 273.885129
26.129808 315.968802
27.860804 242.651738
22.293191 224.075105
22.537017 262.548114
19.319879 232.236550
26.026108 180.362694
17.617427 290.527398
24.680344 224.115291
22.916581 236.255050
27.203390 252.250612
26.335791 265.195665
28.350802 238.917020
24.129264 269.935690
24.769866 259.979968
23.719092 231.896518
24.310956 284.772371
26.089240 259.177439
24.440372 277.512613
23.839994 226.999304
22.138571 278.881381
24.327414 246.502229
18.553291 261.102563
17.862303 224.575030
20.226792 256.758163
25.708520 239.216653
21.787137 216.686539
21.881066 208.457139
20.361278 226.175621
21.816170 269.284252
25.233376 256.173946
25.363264 220.396854
21.158719 217.554299
23.786934 235.851692
21.668092 154.916880
22.349324 253.377999
20.957884 241.189120
21.088503 319.893246
19.173193 274.450260
22.126048 269.422643
20.836034 231.492511
21.093218 212.547769
20.698686 274.384759
23.531705 278.122683
25.020534 225.232596
24.492701 232.324481
24.407244 231.984366
22.952081 232.039524
26.134202 198.023786
19.733092 270.563774
20.819453 222.873594
20.023513 226.594974
21.164353 222.118134
20.404588 263.084708
18.772392 244.913260
23.367399 217.700736
19.723378 209.469796
27.904796 288.396767
17.924466 292.109787
23.395779 210.871171
22.962857 248.969218
24.727369 211.369428
25.750709 247.369134
19.385967 288.536087
19.977689 282.506206
23.350934 232.904807
21.259116 241.206108
24.067938 280.059709
22.309483 211.970624
26.745182 242.097234
22.905239 204.509001
19.331014 220.550558
19.762853 295.602586
22.253337 238.044427
17.197653 194.137217
19.628730 283.033799
24.902429 295.236169
21.526017 214.803159
21.335778 255.442138
59.236312 17.810306
79.484087 27.168041
59.448264 41.466851
73.910153 44.749169
64.886121 24.997583
72.255899 26.863406
65.725634 26.426883
80.946042 35.241163
59.256329 24.140503
58.333118 37.528697
75.949340 17.638474
81.018829 28.280539
80.119345 28.907794
86.555050 25.335833
76.632671 41.411208
72.275812 23.218545
68.899623 38.274779
85.590503 24.779479
71.739362 32.872270
65.905835 29.334358
66.577911 14.079381
64.535432 17.658657
71.139069 54.573726
66.302090 20.455072
59.268742 12.242882
66.198623 32.106564
80.189715 8.796222
55.290825 31.475314
68.209890 30.691444
65.785874 30.128766
68.381782 27.384004
52.110729 6.958185
94.414931 29.959926
72.620349 30.958841
63.595178 19.685559
73.734265 39.316199
52.285204 18.914649
65.721782 43.792301
80.401413 29.836268
66.677897 24.511546
70.463282 25.757566
69.990065 13.478191
64.783274 8.917336
77.165526 31.296003
84.442797 32.583610
53.708276 32.637487
63.355834 31.999391
55.985002 22.541476
77.045288 19.969553
82.160359 40.677007
72.055761 33.831986
70.518750 37.043356
60.613349 29.481676
72.416315 11.488355
61.106398 20.289971
56.873156 3.934094
54.525816 22.319577
56.655160 60.241061
60.228312 31.926033
78.878968 17.310987
70.021153 6.945625
76.708291 24.312913
66.434067 36.014893
64.883407 32.195110
74.791117 26.200755
95.248350 22.609448
86.872040 55.246297
84.854726 22.326537
74.660723 17.342621
72.670190 53.652323
72.626493 42.714155
77.353150 24.535704
62.661854 24.293527
72.354445 29.366584
73.556181 38.757025
70.818055 39.739366
75.898429 55.829276
83.357583 43.645479
78.856209 40.453443
67.558935 33.432924
82.326836 35.112103
58.848402 22.494093
81.144986 32.896737
52.923247 54.877058
78.060722 24.643857
92.510326 35.355838
69.781798 42.913160
90.473125 31.566042
72.261556 26.826524
59.788120 32.014848
68.957655 16.720394
60.551430 31.643553
46.189999 30.080543
65.609467 26.493187
66.970013 22.816308
75.678652 23.861853
58.506486 49.392450
61.019075 29.601323
73.446631 38.965729
85.552350 17.265907
77.418929 27.404176
90.821690 28.241881
71.359515 31.001112
74.888200 29.730171
79.709475 25.629243
69.261690 18.214231
54.953221 18.174451
59.069639 39.851260
68.252969 17.949148
64.411596 19.606369
75.953948 28.677275
69.196986 43.716366
64.077030 35.092221
85.072695 46.816936
76.003272 25.083251
96.477312 40.780855
73.873306 29.731137
68.933243 44.108474
73.501091 29.035124
66.866122 23.946778
56.986171 28.767153
89.188035 27.253013
60.506632 27.389895
71.952494 29.255831
70.244537 23.913247
82.547519 28.417409
75.681760 17.373592
83.144786 45.020683
88.665714 23.778817
69.569303 28.021001
61.331800 32.121253
72.515208 18.385340
61.982167 42.131492
58.741948 39.949313
61.880092 24.450989
54.726091 15.646439
76.365318 27.689215
69.815264 34.942412
57.053833 39.528627
66.671068 38.275295
74.863741 31.833344
60.195639 35.289007
68.137777 31.064740
62.552136 16.093641
60.375121 24.808120
61.720316 24.268068
89.642858 21.252247
74.045014 52.669375
83.406173 8.246563
71.248623 31.112836
84.675243 34.260984
55.793787 27.735566
69.711899 34.996416
65.213158 38.555269
71.775220 29.674165
71.853973 28.317685
68.374558 50.317788
73.220158 30.041632
68.067551 18.722603
68.370846 34.619672
39.004961 33.174796
57.735791 23.535529
51.055330 44.323195
76.445539 20.547454
78.209933 40.354568
68.838190 25.195499
56.972872 26.860894
79.160567 23.875669
62.502457 28.560347
64.914246 22.987537
59.521015 37.801756
60.841118 44.544363
71.992089 47.708112
74.616474 25.490347
58.670149 43.347452
57.983451 20.618112
55.378444 25.302588
82.737966 16.958968
78.204164 11.549774
44.819927 26.650229
79.960626 14.758153
71.262537 21.796886
74.071168 47.245575
66.985064 14.196788
77.752534 27.957762
70.148273 27.846828
49.903856 33.674869
70.530250 10.040445
69.038858 29.435147
50.429824 44.656885
66.807981 42.690497
62.657957 26.191228
67.245517 32.289092
69.958882 34.431208
74.188569 31.218496
61.766883 44.123161
91.637785 37.521738
77.029978 20.476175
80.584074 17.942249
70.553110 14.337094
43.085133 102.528024
32.872125 128.594190
34.234507 119.703097
39.973676 45.399305
40.047898 101.539441
38.968095 141.043739
38.110221 52.994401
47.788135 96.695823
33.337942 103.178935
36.802276 133.656589
41.636538 99.720217
37.173801 80.369666
45.500354 110.859113
35.596577 123.571406
41.615467 110.235993
45.841085 89.592888
28.143395 127.847147
34.822752 79.275486
35.134105 87.906674
40.641900 127.843248
40.017090 98.393118
29.726264 76.425809
41.913515 116.873124
29.021279 71.002866
36.279582 88.933417
33.439835 113.911841
36.282719 130.400772
32.155272 142.003824
39.498394 125.274532
35.944929 117.468660
38.343387 135.535398
36.173878 48.363748
29.967896 139.785290
34.948067 124.757748
41.796717 119.545289
30.789378 123.319041
41.817006 171.873441
43.244328 114.224633
37.552150 101.528121
37.391930 116.729907
43.636027 72.209833
26.340126 80.302973
36.955496 105.493969
28.697980 100.672914
33.841985 72.700073
51.218104 87.745862
38.454018 58.964678
39.621500 136.271288
38.296269 70.447898
33.881552 91.183475
41.822720 127.281926
38.215302 63.000474
33.765852 89.504619
31.658081 81.703859
26.972049 161.062061
35.935267 88.494464
33.358079 193.976774
39.059406 130.808662
33.409297 87.933297
33.761342 81.012498
29.213653 137.115369
33.900549 89.704718
39.457221 97.566395
35.949480 119.026256
34.511115 121.081415
36.913788 135.946104
38.028914 127.073400
29.146894 113.923657
39.845614 119.985316
35.403872 134.794911
30.709089 103.241719
39.599750 111.247998
39.718039 84.953560
30.987495 46.663861
34.822417 29.690239
40.369248 67.794764
35.019505 116.446348
43.432502 61.331377
32.650618 43.363796
38.976598 96.133795
29.780563 115.428531
30.592367 67.092763
37.267368 75.545907
44.009540 62.510779
36.168746 146.226904
27.798987 178.354724
44.343163 82.219326
35.572262 127.712391
38.416692 88.875577
38.409630 161.961524
36.368984 105.721188
45.201292 99.224853
43.883399 107.045083
39.764670 155.655609
43.934320 97.233956
36.971471 124.557793
41.854743 66.739361
35.049331 126.388162
39.591778 117.593823
45.826781 138.283019
30.847801 61.501679
44.276882 73.833498
26.584205 96.358339
37.026085 97.746703
35.533780 114.762295
27.989615 75.647638
40.304498 119.283998
38.110919 68.433494
36.324268 105.378253
32.939880 70.848365
27.701450 106.472336
36.237738 93.645450
33.174151 150.565516
49.629942 30.918206
38.151981 83.766343
39.877309 68.313286
47.864272 48.762576
43.209568 107.019274
35.439555 93.880807
35.378693 95.305432
41.612945 104.820785
30.494757 178.486078
45.259750 140.948200
33.801279 80.114696
34.976335 77.182899
36.971285 92.473552
40.977348 80.968453
37.837647 42.938077
35.533495 97.619308
40.604367 62.438675
37.163112 66.881529
31.860401 85.353503
38.413809 77.238237
43.579638 101.149393
37.286206 116.081746
34.952913 124.580863
35.429051 76.321368
35.764704 53.464278
46.320990 124.664303
26.144408 133.076665
40.728030 132.910365
31.422615 59.943232
43.461057 36.883955
33.071682 132.367715
43.579992 75.799995
37.288155 126.355093
36.434929 77.331492
31.642097 107.354358
23.300869 181.126563
30.911568 43.381203
31.566938 41.934282
33.487320 91.939127
26.505486 90.457650
44.637194 137.978964
39.971304 140.604119
29.690258 128.376785
39.814195 71.709850
38.634813 72.266742
36.614580 162.100670
35.716530 121.169138
37.711740 75.783835
35.747183 90.368070
36.312071 158.514687
42.707319 95.802360
47.041824 121.021609
41.046635 116.474430
36.744487 97.724845
32.510867 108.675301
33.011693 113.152790
34.070389 93.476969
34.736217 76.935905
40.293107 91.598233
35.777142 105.019410
41.922844 108.127336
35.320125 138.079810
34.840412 53.511017
36.743328 59.737066
40.443718 96.218422
46.166916 118.363529
29.742117 75.224143
31.144484 102.515071
32.221458 112.435521
34.684489 57.955540
40.193873 34.669650
35.360120 82.863838
43.042946 63.269109
35.991564 147.726621
34.622593 117.156070
38.300018 52.773083
25.892192 56.204779
38.424374 110.686103
33.741549 77.382078
40.338612 75.359380
33.802296 95.445376
25.811694 150.698765
38.980874 90.601408
36.049110 51.078695
36.548784 50.664401
34.466574 104.690100
30.378188 98.783891
